Starting node index,Starting node osmid,Ending node index,Ending node osmid,Travel cost from the starting node to the ending node
6834,1333306720,6934,259321398,0.000621687
6835,309309912,6836,247701194,0.000638376
6835,309309912,6935,247701590,0.000277813
6836,247701194,6936,32641653,0.000195438
6859,257906427,6860,296391630,0.000214483
6859,257906427,6959,257904934,0.000394282
6860,296391630,6861,1227744620,0.000445167
6860,296391630,6960,308549193,0.000230213
6861,1227744620,6961,413740030,0.000371188
6894,291628722,6994,2437621188,0.000426349
6901,153325472,6902,309308362,0.000627803
6902,309308362,7002,1086128541,0.000453138
6932,315143621,6933,247701759,0.000511905
6933,247701759,6934,259321398,0.000779207
6934,259321398,6935,247701590,0.000336888
6935,247701590,6936,32641653,0.000604469
6936,32641653,6937,309309089,0.000453046
6937,309309089,6938,247701374,0.000573461
6938,247701374,7038,309310039,0.00030763
6959,257904934,6960,308549193,0.000636515
6960,308549193,6961,413740030,0.00041202
6961,413740030,6962,413740991,0.000320101
6993,1964144951,6994,2437621188,0.000829853
6993,1964144951,7093,2437621193,0.000629542
6994,2437621188,7094,291631392,0.000538222
6997,291630673,6998,291629593,0.000909636
6997,291630673,7097,419622070,0.000104209
7002,1086128541,7003,278938842,0.000690963
7002,1086128541,7102,1716354044,0.000446121
7003,278938842,7004,1125488310,0.000358238
7038,309310039,7039,309310043,0.000424556
7038,309310039,7138,919655149,0.000290514
7039,309310043,7139,247701702,0.000211089
7052,1094019232,7053,1094019254,0.000176723
7053,1094019254,7153,1090520086,0.000406022
7063,9656316036,7163,8283701885,0.000232846
7092,291635331,7093,2437621193,0.00071117
7092,291635331,7192,291635332,0.000460839
7093,2437621193,7094,291631392,0.000572922
7094,291631392,7095,292456435,0.000108005
7095,292456435,7096,2188993408,0.000596058
7096,2188993408,7097,419622070,0.000461233
7096,2188993408,7196,2188993409,0.000354285
7105,309308372,7106,315147745,0.000408747
7105,309308372,7205,1716354061,0.000696698
7138,919655149,7139,247701702,0.000432107
7139,247701702,7140,309309088,0.000438528
