u,v,key,osmid,oneway,lanes,highway,length,ref,maxspeed,bridge,name,junction,geometry
3695224166,5074760632,0,739641951,True,,unclassified,54.875,,,,Maple Street,,"LINESTRING (-97.1500214 33.2082638, -97.1506112 33.2082686)"
3695224172,5060888366,0,9972808,False,,unclassified,66.733,,,,West Mulberry Street,,"LINESTRING (-97.1514931 33.2136936, -97.1507758 33.2136876)"
3695224172,2631862668,0,739641947,False,,unclassified,5.279,,,,West Mulberry Street,,"LINESTRING (-97.1514931 33.2136936, -97.1515498 33.2136954)"
3695224173,5797617837,0,9970017,False,,unclassified,18.559,,,,South Avenue B,,"LINESTRING (-97.1484418 33.2139764, -97.1484437 33.2138095)"
3695224173,9540501665,0,739641946,False,,unclassified,68.665,,,,South Avenue B,,"LINESTRING (-97.1484418 33.2139764, -97.1484361 33.2145939)"
3695261542,2625637198,0,518150884,False,4,tertiary,6.583,,20 mph,,North Texas Boulevard,,"LINESTRING (-97.1550651 33.2134745, -97.1550652 33.2134153)"
3695261542,2973885256,0,518150884,False,4,tertiary,6.65,,20 mph,,North Texas Boulevard,,"LINESTRING (-97.1550651 33.2134745, -97.1550648 33.2135343)"
3695271638,8863436011,0,9973918,False,,residential,35.593,,,,Stella Street,,"LINESTRING (-97.1602134 33.2137918, -97.1598308 33.2137906)"
3695271638,7589677156,0,9973918,False,,residential,15.573,,,,Stella Street,,"LINESTRING (-97.1602134 33.2137918, -97.1603808 33.2137915)"
3695281124,5082149926,0,9979398,False,,secondary,35.718,,,,South Bonnie Brae Street,,"LINESTRING (-97.1614205 33.2131324, -97.1614248 33.2128112)"
3695281124,5744697370,0,9979398,False,,secondary,73.128,,,,South Bonnie Brae Street,,"LINESTRING (-97.1614205 33.2131324, -97.16141 33.21379)"
3695311444,81797206,0,152774059,True,2,secondary,8.726,,,,West Oak Street,,"LINESTRING (-97.1574252 33.2157606, -97.157519 33.215761)"
3703706660,6021271447,0,521609568,False,,residential,11.35,,,,West Mulberry Street,,"LINESTRING (-97.1352826 33.2135152, -97.1351606 33.2135149)"
3703706660,8593818783,0,521609568,False,,residential,20.55,,,,West Mulberry Street,,"LINESTRING (-97.1352826 33.2135152, -97.1355035 33.2135154)"
3729137287,81985693,0,9981968,False,,tertiary,7.037,,,,East Prairie Street,,"LINESTRING (-97.126328 33.210594, -97.1264035 33.2105979)"
3729137287,81977733,0,9981968,False,,tertiary,69.92,,,,East Prairie Street,,"LINESTRING (-97.126328 33.210594, -97.1255765 33.2105856)"
3763123802,81976652,0,9980874,True,2,tertiary,11.552,,,,North Texas Boulevard,,"LINESTRING (-97.1548625 33.2071518, -97.1547809 33.2070735)"
3763123803,81831456,0,365519038,True,2,tertiary,9.778,,,,North Texas Boulevard,,"LINESTRING (-97.1547716 33.2072236, -97.1548378 33.2072919)"
3763123809,81818242,0,9980874,True,2,tertiary,9.591,,,,North Texas Boulevard,,"LINESTRING (-97.1537947 33.2064905, -97.1537069 33.2064453)"
3763123810,81831463,0,365519038,True,2,tertiary,61.75,,,,North Texas Boulevard,,"LINESTRING (-97.1537292 33.2065708, -97.1542708 33.2068918)"
3786018923,8859141972,0,375216842,True,3,secondary,77.946,,,,West Oak Street,,"LINESTRING (-97.1604534 33.215789, -97.1612911 33.2158035)"
3786018924,6044016152,0,375216841,False,4,tertiary,45.409,,,,Jagoe Street,,"LINESTRING (-97.1505904 33.216308, -97.1505993 33.2158997)"
3786018924,6044016160,0,666183859,False,4,tertiary,37.776,,,,Jagoe Street,,"LINESTRING (-97.1505904 33.216308, -97.1505854 33.2166477)"
3786149765,81857469,0,9969264,False,,residential,93.243,,,,Sena Street,,"LINESTRING (-97.1550118 33.2200872, -97.15401 33.220059)"
3786149765,81857467,0,9969264,False,,residential,9.047,,,,Sena Street,,"LINESTRING (-97.1550118 33.2200872, -97.155109 33.22009)"
3786149766,81857467,0,9969264,False,,residential,9.341,,,,Sena Street,,"LINESTRING (-97.1552094 33.2200913, -97.155109 33.22009)"
3786149766,81857465,0,9969264,False,,residential,71.89,,,,Sena Street,,"LINESTRING (-97.1552094 33.2200913, -97.155982 33.2201068)"
3804396380,8822900164,0,737067183,False,,tertiary,58.048,,,,Scripture Street,,"LINESTRING (-97.1586326 33.218934, -97.1580092 33.2189109)"
3804396380,81823358,0,737067183,False,,tertiary,6.233,,,,Scripture Street,,"LINESTRING (-97.1586326 33.218934, -97.1586996 33.2189345)"
3969095040,9532532186,0,9973983,False,,tertiary,32.439,,,,Bernard Street,,"LINESTRING (-97.1414936 33.2096391, -97.1414989 33.2093474)"
3969095040,5970979178,0,9973983,False,,tertiary,11.898,,,,Bernard Street,,"LINESTRING (-97.1414936 33.2096391, -97.1414946 33.2097461)"
3969104764,5060968107,0,150153958,False,,residential,4.931,,,,West Highland Street,,"LINESTRING (-97.1419883 33.2092956, -97.1419353 33.209295)"
3969104764,81870021,0,150153958,False,,residential,34.584,,,,West Highland Street,,"LINESTRING (-97.1419883 33.2092956, -97.14236 33.2092999)"
