u,v,key,osmid,name,highway,oneway,length,lanes,ref,maxspeed,geometry
9042139721,9042139718,0,365519043,West Hickory Street,secondary,True,33.603,,,,"LINESTRING (-97.1419714 33.2146212, -97.1416102 33.214619)"
9183679974,7830831190,0,656309441,West Oak Street,secondary,True,16.271,3,,20 mph,"LINESTRING (-97.1368915 33.2156182, -97.1370664 33.2156192)"
9183683831,2973835901,0,365519044,West Hickory Street,secondary,True,41.082,2,,,"LINESTRING (-97.1455271 33.2146414, -97.1450855 33.2146399)"
9375732066,8597404380,0,365519035,Eagle Drive,tertiary,False,63.702,,,,"LINESTRING (-97.1474783 33.2067036, -97.1481627 33.2067204)"
9375732066,81818271,0,1016511721,Eagle Drive,tertiary,False,16.9,,,,"LINESTRING (-97.1474783 33.2067036, -97.1472967 33.2067001)"
9375732067,8860768046,0,1016511722,Eagle Drive,tertiary,False,93.075,,,,"LINESTRING (-97.1471416 33.2066989, -97.1461414 33.2066818)"
9375732067,81818271,0,1016511722,Eagle Drive,tertiary,False,14.431,,,,"LINESTRING (-97.1471416 33.2066989, -97.1472967 33.2067001)"
9513229510,2973885368,0,1032499668,Avenue C,tertiary,True,8.362,2,,,"LINESTRING (-97.1507885 33.2071963, -97.1507886 33.2071211)"
9513229511,81976466,0,1032499667,Avenue C,tertiary,True,17.392,3,,,"LINESTRING (-97.1507899 33.2070274, -97.150792 33.206871)"
9530423835,5059238826,0,9963497,Kendolph Street,residential,False,24.297,,,,"LINESTRING (-97.1518608 33.2067101, -97.1518629 33.2064916)"
9530423835,5059238795,0,9963497,Kendolph Street,residential,False,8.774,,,,"LINESTRING (-97.1518608 33.2067101, -97.15186 33.206789)"
9530423881,5059238791,0,739641950,Eagle Drive,tertiary,False,12.683,,,,"LINESTRING (-97.1508685 33.2067789, -97.1507322 33.206777)"
9530423881,3695224164,0,739641950,Eagle Drive,tertiary,False,79.343,,,,"LINESTRING (-97.1508685 33.2067789, -97.1517212 33.2067907)"
9532490888,5075741100,0,9975998,Central Avenue,unclassified,False,9.029,,,,"LINESTRING (-97.1452609 33.2092269, -97.1452617 33.2091457)"
9532490888,81870016,0,9975998,Central Avenue,unclassified,False,10.353,,,,"LINESTRING (-97.1452609 33.2092269, -97.14526 33.20932)"
9532532186,5060969352,0,9973983,Bernard Street,tertiary,False,6.383,,,,"LINESTRING (-97.1414989 33.2093474, -97.1415 33.20929)"
9532532186,3969095040,0,9973983,Bernard Street,tertiary,False,32.439,,,,"LINESTRING (-97.1414989 33.2093474, -97.1414936 33.2096391)"
9532532187,5970979173,0,9973983,Bernard Street,tertiary,False,55.915,,,,"LINESTRING (-97.1415013 33.2092175, -97.1415104 33.2087147)"
9532532187,5060969352,0,9973983,Bernard Street,tertiary,False,8.063,,,,"LINESTRING (-97.1415013 33.2092175, -97.1415 33.20929)"
9532532188,5060969352,0,150153958,West Highland Street,residential,False,8.783,,,,"LINESTRING (-97.1415944 33.2092911, -97.1415 33.20929)"
9532532188,5060968107,0,150153958,West Highland Street,residential,False,31.718,,,,"LINESTRING (-97.1415944 33.2092911, -97.1419353 33.209295)"
9532532189,5970979175,0,150153958,West Highland Street,residential,False,63.613,,,,"LINESTRING (-97.1414378 33.2092889, -97.1407542 33.2092767)"
9532532189,5060969352,0,150153958,West Highland Street,residential,False,5.788,,,,"LINESTRING (-97.1414378 33.2092889, -97.1415 33.20929)"
9532532208,81870019,0,150153958,West Highland Street,residential,False,6.42,,,,"LINESTRING (-97.1434388 33.2093124, -97.1433698 33.2093116)"
9532532208,2973895705,0,150153958,West Highland Street,residential,False,5.285,,,,"LINESTRING (-97.1434388 33.2093124, -97.1434956 33.2093131)"
9532533135,5970979179,0,9973983,Bernard Street,tertiary,False,6.461,,,,"LINESTRING (-97.1414817 33.2102887, -97.1414827 33.2102306)"
9532533135,5060969356,0,9973983,Bernard Street,tertiary,False,10.153,,,,"LINESTRING (-97.1414817 33.2102887, -97.14148 33.21038)"
