osmid,y,x,street_count,highway,geometry
81870043,33.20917,-97.13522,2,,POINT (-97.13522 33.20917)
81870045,33.209172,-97.134868,2,,POINT (-97.134868 33.209172)
81870046,33.20918,-97.13468,3,,POINT (-97.13468 33.20918)
81870047,33.20918,-97.134507,2,,POINT (-97.134507 33.20918)
81870049,33.20919,-97.13426,2,,POINT (-97.13426 33.20919)
81878592,33.214592,-97.1391581,3,,POINT (-97.1391581 33.214592)
81879640,33.2145818,-97.13811,3,,POINT (-97.13811 33.2145818)
81886560,33.2145386,-97.1343102,4,,POINT (-97.1343102 33.2145386)
81886561,33.2135127,-97.1343281,3,,POINT (-97.1343281 33.2135127)
81892545,33.2146788,-97.1536641,3,,POINT (-97.1536641 33.2146788)
81895622,33.2136726,-97.148538,2,,POINT (-97.148538 33.2136726)
81895623,33.21371,-97.15288,3,,POINT (-97.15288 33.21371)
81895631,33.213637,-97.1442852,4,,POINT (-97.1442852 33.213637)
81895639,33.213521,-97.137196,2,,POINT (-97.137196 33.213521)
81901408,33.21069,-97.13248,4,,POINT (-97.13248 33.21069)
81901410,33.2106967,-97.1356213,4,,POINT (-97.1356213 33.2106967)
81904846,33.2146179,-97.1414344,3,,POINT (-97.1414344 33.2146179)
81904855,33.2145657,-97.1365429,3,,POINT (-97.1365429 33.2145657)
81907776,33.211579,-97.13563,3,,POINT (-97.13563 33.211579)
81907777,33.208678,-97.13565,2,,POINT (-97.13565 33.208678)
81908843,33.20768,-97.136281,2,,POINT (-97.136281 33.20768)
81908845,33.2071835,-97.1362964,1,,POINT (-97.1362964 33.2071835)
81909431,33.211571,-97.141449,2,,POINT (-97.141449 33.211571)
81909434,33.20763,-97.14152,2,,POINT (-97.14152 33.20763)
81910598,33.212503,-97.1324781,4,traffic_signals,POINT (-97.1324781 33.212503)
81911872,33.208591,-97.134698,2,,POINT (-97.134698 33.208591)
81930438,33.2071601,-97.1452956,2,,POINT (-97.1452956 33.2071601)
81943314,33.2115272,-97.1443601,3,traffic_signals,POINT (-97.1443601 33.2115272)
81946700,33.20989,-97.13248,3,,POINT (-97.13248 33.20989)
81946702,33.20853,-97.13251,2,,POINT (-97.13251 33.20853)
81946707,33.206947,-97.132532,2,,POINT (-97.132532 33.206947)
81952494,33.205951,-97.143169,2,,POINT (-97.143169 33.205951)
81955249,33.21594,-97.14779,2,,POINT (-97.14779 33.21594)
81958101,33.2153009,-97.1484263,2,,POINT (-97.1484263 33.2153009)
81976280,33.2079137,-97.146029,2,,POINT (-97.146029 33.2079137)
81976282,33.2080037,-97.1460517,2,,POINT (-97.1460517 33.2080037)
81976284,33.2081,-97.14609,2,,POINT (-97.14609 33.2081)
81976286,33.2083869,-97.1462578,2,,POINT (-97.1462578 33.2083869)
81976288,33.2084671,-97.1462719,2,,POINT (-97.1462719 33.2084671)
81976290,33.2085701,-97.1462766,2,,POINT (-97.1462766 33.2085701)
81976291,33.2089152,-97.146279,2,,POINT (-97.146279 33.2089152)
81976457,33.2134486,-97.1507314,2,,POINT (-97.1507314 33.2134486)
81976458,33.21267,-97.150731,4,,POINT (-97.150731 33.21267)
81976460,33.2115701,-97.1507507,4,,POINT (-97.1507507 33.2115701)
81976466,33.206871,-97.150792,2,,POINT (-97.150792 33.206871)
81976494,33.206871,-97.150684,2,,POINT (-97.150684 33.206871)
81976537,33.2126764,-97.1528927,4,stop,POINT (-97.1528927 33.2126764)
81976539,33.211561,-97.1528922,3,,POINT (-97.1528922 33.211561)
81976543,33.2061057,-97.1532624,2,,POINT (-97.1532624 33.2061057)
81976545,33.2061676,-97.1533243,2,,POINT (-97.1533243 33.2061676)
81977566,33.2115068,-97.1537177,2,,POINT (-97.1537177 33.2115068)
81977568,33.2115613,-97.1531685,2,,POINT (-97.1531685 33.2115613)
81985010,33.211591,-97.137231,2,,POINT (-97.137231 33.211591)
81985012,33.211582,-97.136975,2,,POINT (-97.136975 33.211582)
81985013,33.211585,-97.136122,2,,POINT (-97.136122 33.211585)
81985015,33.21157,-97.1347,2,,POINT (-97.1347 33.21157)
81985016,33.211561,-97.134349,2,,POINT (-97.134349 33.211561)
81986945,33.211131,-97.140212,1,,POINT (-97.140212 33.211131)
81986947,33.210663,-97.1402146,2,,POINT (-97.1402146 33.210663)
81989168,33.21253,-97.13492,2,,POINT (-97.13492 33.21253)
81989170,33.212532,-97.135442,2,,POINT (-97.135442 33.212532)
81989185,33.2125944,-97.1418999,2,,POINT (-97.1418999 33.2125944)
81989186,33.212603,-97.1428,2,,POINT (-97.1428 33.212603)
81989189,33.2126066,-97.1431753,2,,POINT (-97.1431753 33.2126066)
81989193,33.2126179,-97.1443127,3,,POINT (-97.1443127 33.2126179)
81989210,33.212662,-97.1492273,2,,POINT (-97.1492273 33.212662)
1439907552,33.2084623,-97.1370522,2,,POINT (-97.1370522 33.2084623)
1549933088,33.2066297,-97.1444049,4,traffic_signals,POINT (-97.1444049 33.2066297)
1549933100,33.2135606,-97.14143,4,stop,POINT (-97.14143 33.2135606)
1630768299,33.2155972,-97.1506714,2,,POINT (-97.1506714 33.2155972)
1630768302,33.2136856,-97.150639,4,,POINT (-97.150639 33.2136856)
1630768304,33.2156343,-97.1506129,2,crossing,POINT (-97.1506129 33.2156343)
1630768306,33.2146641,-97.1506411,4,traffic_signals,POINT (-97.1506411 33.2146641)
1655564145,33.2156523,-97.150661,2,,POINT (-97.150661 33.2156523)
1655564152,33.2157564,-97.150611,2,,POINT (-97.150611 33.2157564)
1655564157,33.2155969,-97.1506111,2,,POINT (-97.1506111 33.2155969)
2072447752,33.2131172,-97.1506372,2,,POINT (-97.1506372 33.2131172)
2072447756,33.2132905,-97.1506374,2,,POINT (-97.1506374 33.2132905)
2072447763,33.2136211,-97.1506418,2,crossing,POINT (-97.1506418 33.2136211)
2072447765,33.2136212,-97.1507285,2,crossing,POINT (-97.1507285 33.2136212)
2072447767,33.2136813,-97.1500289,2,,POINT (-97.1500289 33.2136813)
2072447768,33.2136852,-97.1505707,2,crossing,POINT (-97.1505707 33.2136852)
